,address,zipcode,city,state,latitude,longitude,usecode,bedrooms,amount,last-updated,rent,rentPerUnit,totalMonthlyIncome,downPayment,loanAmount,interestRate,pmiRate,loanTerm_years,paymentsPerYear,taxRate,insuranceRate,monthlyInterest,monthlyPrincipal,monthlyP&I,monthlyTaxes,monthlyInsurance,monthlyPMI,subTotalMonthlyPayment,vacancy,capitalExpenditures,maintenance,subtotalMonthlyReserves,totalMonthlyExpenses,rehabCost,closingCosts,initialInvestment,monthlyCashFlow,yearlyLoanPaydown,appreciationAmount,oneYearNWROI
1354,5450 arapahoe ave,80303,Boulder,CO,40.013876,-105.238809,Condominium,6.0,929728.0,01/08/2020,2900.0,580.0,3480.0,32540.480000000003,897187.52,0.0366,0.01,30,12,0.008,0.005,2736.421936,1231.3898712,3967.8118072,619.8186666666667,387.3866666666667,747.6562666666667,5722.6734072,100,100,100,300,6022.6734072,20000,18594.56,71135.04000000001,-2542.6734072,14776.6784544,55783.68,0.6608315334889809
122,8433 e jamison cir n,80112,Centennial,CO,39.580241,-104.892778,SingleFamily,4.0,702284.0,01/08/2020,3239.0,1079.6666666666667,4318.666666666667,24579.940000000002,677704.0599999999,0.0366,0.01,30,12,0.008,0.005,2066.997383,930.1488223499999,2997.14620535,468.1893333333333,292.61833333333334,564.7533833333333,4322.70725535,100,100,100,300,4622.70725535,20000,14045.68,58625.62,-304.0405886833332,11161.785868199999,42137.04,1.0679006687519892
420,8523 e 149th dr,80602,Thornton,CO,39.967077,-104.88886299999999,Condominium,2.0,418679.0,01/08/2020,2195.0,2195.0,4390.0,14653.765000000001,404025.235,0.0366,0.01,30,12,0.008,0.005,1232.27696675,554.5246350374999,1786.8016017874997,279.1193333333334,174.44958333333332,336.6876958333333,2577.0582142875,100,100,100,300,2877.0582142875,20000,8373.58,43027.345,1512.9417857125,6654.295620449999,25120.739999999998,1.7726015176860201
174,6103 s logan pl,80121,Centennial,CO,39.605346000000004,-104.982111,SingleFamily,3.0,497228.0,01/08/2020,2250.0,1125.0,3375.0,17402.980000000003,479825.01999999996,0.0366,0.01,30,12,0.008,0.005,1463.466311,658.55983995,2122.0261509499996,331.48533333333336,207.1783333333333,399.8541833333333,3060.54400095,100,100,100,300,3360.54400095,20000,9944.56,47347.54,14.455999050000173,7902.7180794,29833.68,1.0857981231548672
219,7119 s espana way,80016,Centennial,CO,39.586837,-104.761521,SingleFamily,4.0,906433.0,01/08/2020,4221.0,1407.0,5628.0,31725.155000000002,874707.845,0.0366,0.01,30,12,0.008,0.005,2667.85892725,1200.5365172625,3868.3954445125,604.2886666666667,377.68041666666664,728.9232041666666,5579.2877320125,100,100,100,300,5879.2877320125,20000,18128.66,69853.815,-251.28773201249987,14406.43820715,54385.979999999996,1.1833421756993516
731,9545 kalamath cir,80260,Thornton,CO,39.870098,-105.00091699999999,SingleFamily,3.0,343598.0,01/08/2020,2045.0,1022.5,3067.5,12025.93,331572.07,0.0366,0.01,30,12,0.008,0.005,1011.2948135,455.082666075,1466.377479575,229.06533333333334,143.16583333333332,276.31005833333336,2114.918704575,100,100,100,300,2414.918704575,20000,6871.96,38897.89,652.581295425,5460.991992900001,20615.88,1.1871555896219563
1788,1211 s sable blvd,80012,Aurora,CO,39.694163,-104.819567,Condominium,2.0,282782.0,01/08/2020,1725.0,1725.0,3450.0,9897.37,272884.63,0.0366,0.01,30,12,0.008,0.005,832.2981215,374.534154675,1206.832276175,188.52133333333333,117.82583333333334,227.40385833333335,1740.583301175,100,100,100,300,2040.583301175,20000,5655.64,35553.01,1409.416698825,4494.4098561,16966.92,1.6615844971213405
171,6193 e jamison pl,80112,Centennial,CO,39.577892,-104.91726899999999,SingleFamily,3.0,612884.0,01/08/2020,2769.0,1384.5,4153.5,21450.940000000002,591433.0599999999,0.0366,0.01,30,12,0.008,0.005,1803.870833,811.74187485,2615.61270785,408.58933333333334,255.36833333333334,492.8608833333333,3772.43125785,100,100,100,300,4072.43125785,20000,12257.68,53708.62,81.06874215000016,9740.902498200001,36773.04,1.193491238538618
1545,3969 fuller ct,80305,Boulder,CO,39.990258000000004,-105.245028,SingleFamily,5.0,697090.0,01/08/2020,3200.0,800.0,4000.0,24398.15,672691.85,0.0366,0.01,30,12,0.008,0.005,2051.7101425,923.2695641250001,2974.9797066250003,464.7266666666667,290.4541666666667,560.5765416666667,4290.737081625,100,100,100,300,4590.737081625,20000,13941.800000000001,58339.950000000004,-590.7370816250004,11079.2347695,41825.4,0.949877224611951
1278,3250 darley ave,80305,Boulder,CO,39.978512,-105.2543,SingleFamily,3.0,772893.0,01/08/2020,2700.0,1350.0,4050.0,27051.255,745841.745,0.0366,0.01,30,12,0.008,0.005,2274.81732225,1023.6677950125,3298.4851172625,515.2620000000001,322.03875,621.5347875,4757.3206547624995,100,100,100,300,5057.3206547624995,20000,15457.86,62509.115000000005,-1007.3206547624995,12284.013540150001,46373.58,1.0041694828506211
1633,2918 s lisbon way,80013,Aurora,CO,39.664737,-104.74802700000001,SingleFamily,5.0,455050.0,01/08/2020,2400.0,600.0,3000.0,15926.750000000002,439123.25,0.0366,0.01,30,12,0.008,0.005,1339.3259125,602.696660625,1942.022573125,303.3666666666667,189.60416666666666,365.93604166666665,2800.929448125,100,100,100,300,3100.929448125,20000,9101.0,45027.75,-100.92944812499991,7232.359927500001,27303.0,0.8999829338574546
51,8126 s willow st,80112,Centennial,CO,39.569447,-104.88991000000001,SingleFamily,5.0,684286.0,01/08/2020,3142.0,785.5,3927.5,23950.010000000002,660335.99,0.0366,0.01,30,12,0.008,0.005,2014.0247695,906.311146275,2920.335915775,456.1906666666667,285.1191666666667,550.2799916666667,4211.925740775,100,100,100,300,4511.925740775,20000,13685.720000000001,57635.73,-584.4257407750001,10875.7337553,41057.159999999996,0.942918305467806
1824,875 s joplin cir,80017,Aurora,CO,39.700672999999995,-104.80083,Condominium,2.0,256239.0,01/08/2020,1700.0,1700.0,3400.0,8968.365000000002,247270.63499999998,0.0366,0.01,30,12,0.008,0.005,754.1754367499999,339.3789465375,1093.5543832874998,170.82600000000002,106.76625,206.0588625,1577.2054957874998,100,100,100,300,1877.2054957874998,20000,5124.78,34093.145000000004,1522.7945042125002,4072.5473584499996,15374.34,1.7047538855391604
1785,2225 n joliet st,80010,Aurora,CO,39.749973,-104.861411,SingleFamily,3.0,310093.0,01/08/2020,1750.0,875.0,2625.0,10853.255000000001,299239.745,0.0366,0.01,30,12,0.008,0.005,912.6812222499999,410.7065500125,1323.3877722624998,206.72866666666667,129.20541666666668,249.36645416666667,1908.6883097624998,100,100,100,300,2208.6883097624996,20000,6201.860000000001,37055.115000000005,416.31169023750044,4928.47860015,18605.579999999998,1.0532904535041923
35,5488 s ceylon way,80015,Centennial,CO,39.617129,-104.765388,SingleFamily,3.0,418359.0,01/08/2020,2295.0,1147.5,3442.5,14642.565,403716.435,0.0366,0.01,30,12,0.008,0.005,1231.33512675,554.1008070375,1785.4359337874998,278.906,174.31625,336.4303625,2575.0885462874994,100,100,100,300,2875.0885462874994,20000,8367.18,43009.745,567.4114537125006,6649.209684449999,25101.54,1.2166937313625088
392,5236 s laredo way,80015,Centennial,CO,39.621869000000004,-104.800572,SingleFamily,4.0,464457.0,01/08/2020,2400.0,800.0,3200.0,16255.995,448201.005,0.0366,0.01,30,12,0.008,0.005,1367.0130652500002,615.1558793625001,1982.1689446125001,309.638,193.52374999999998,373.5008375,2858.8315321125,100,100,100,300,3158.8315321125,20000,9289.14,45545.135,41.1684678874999,7381.870552350001,27867.42,0.9955687290640372
569,4077 e 130th way,80241,Thornton,CO,39.933725,-104.93870600000001,SingleFamily,4.0,416797.0,01/08/2020,2400.0,800.0,3200.0,14587.895000000002,402209.105,0.0366,0.01,30,12,0.008,0.005,1226.73777025,552.0319966125,1778.7697668625,277.86466666666666,173.6654166666667,335.1742541666667,2565.4741043625004,100,100,100,300,2865.4741043625004,20000,8335.94,42923.83500000001,334.5258956374996,6624.383959350001,25007.82,1.0541116539796593
1791,163 s granby ct,80012,Aurora,CO,39.71393,-104.811221,SingleFamily,3.0,346484.0,01/08/2020,2100.0,1050.0,3150.0,12126.94,334357.06,0.0366,0.01,30,12,0.008,0.005,1019.789033,458.90506485000003,1478.6940978500002,230.98933333333332,144.36833333333334,278.6308833333333,2132.68264785,100,100,100,300,2432.68264785,20000,6929.68,39056.62,717.3173521499998,5506.8607782,20789.04,1.2162780344023625
109,7822 s ivy way,80112,Centennial,CO,39.574524,-104.921571,SingleFamily,4.0,754896.0,01/08/2020,3481.0,1160.3333333333333,4641.333333333333,26421.360000000004,728474.64,0.0366,0.01,30,12,0.008,0.005,2221.847652,999.8314434,3221.6790954,503.26400000000007,314.54,607.0622,4646.5452954,100,100,100,300,4946.5452954,20000,15097.92,61519.28,-305.2119620666672,11997.9773208,45293.759999999995,1.0980816709168246
72,18655 e progress pl,80015,Centennial,CO,39.621676,-104.770719,SingleFamily,3.0,465411.0,01/08/2020,2295.0,1147.5,3442.5,16289.385000000002,449121.615,0.0366,0.01,30,12,0.008,0.005,1369.82092575,616.4194165875,1986.2403423375,310.274,193.92125,374.2680125,2864.7036048375,100,100,100,300,3164.7036048375,20000,9308.22,45597.605,277.7963951625002,7397.0329990499995,27924.66,1.1497369158095034
1882,2801 s ursula ct,80014,Aurora,CO,39.6661,-104.83886700000001,SingleFamily,4.0,385298.0,01/08/2020,2350.0,783.3333333333334,3133.3333333333335,13485.430000000002,371812.57,0.0366,0.01,30,12,0.008,0.005,1134.0283385,510.312752325,1644.341090825,256.86533333333335,160.54083333333332,309.84380833333336,2371.5910658250004,100,100,100,300,2671.5910658250004,20000,7705.96,41191.39,461.74226750833304,6123.7530279,23117.879999999997,1.0726159092470537
713,16634 humboldt st,80602,Thornton,CO,39.996618,-104.967825,SingleFamily,4.0,504460.0,01/08/2020,2573.0,857.6666666666666,3430.6666666666665,17656.100000000002,486803.89999999997,0.0366,0.01,30,12,0.008,0.005,1484.751895,668.1383527500001,2152.89024775,336.3066666666667,210.1916666666667,405.66991666666667,3105.0584977500002,100,100,100,300,3405.0584977500002,20000,10089.2,47745.3,25.608168916666273,8017.6602330000005,30267.6,1.0238611603655225
576,1145 w 96th ave,80260,Thornton,CO,39.871371999999994,-105.00063600000001,SingleFamily,3.0,342572.0,01/08/2020,1950.0,975.0,2925.0,11990.02,330581.98,0.0366,0.01,30,12,0.008,0.005,1008.275039,453.72376755,1461.99880655,228.38133333333334,142.73833333333334,275.48498333333333,2108.60345655,100,100,100,300,2408.60345655,20000,6851.4400000000005,38841.46,516.3965434500001,5444.6852106,20554.32,1.13012651254613
435,8692 e 148th ln,80602,Thornton,CO,39.966274,-104.885842,SingleFamily,4.0,520806.0,01/08/2020,2658.0,886.0,3544.0,18228.210000000003,502577.79,0.0366,0.01,30,12,0.008,0.005,1532.8622595,689.788016775,2222.6502762749997,347.204,217.00250000000003,418.814825,3205.671601275,100,100,100,300,3505.671601275,20000,10416.12,48644.33000000001,38.32839872500017,8277.4562013,31248.36,1.0405684894005116
164,8651 e otero pl,80112,Centennial,CO,39.569457,-104.88823000000001,SingleFamily,4.0,678977.0,01/08/2020,3106.0,1035.3333333333333,4141.333333333333,23764.195000000003,655212.8049999999,0.0366,0.01,30,12,0.008,0.005,1998.39905525,899.2795748625,2897.6786301125,452.6513333333333,282.90708333333333,546.0106708333333,4179.247717612499,100,100,100,300,4479.247717612499,20000,13579.54,57343.73500000001,-337.91438427916637,10791.35489835,40738.619999999995,1.044560531102482
578,3663 e 133rd ct,80241,Thornton,CO,39.936847,-104.944129,SingleFamily,3.0,428088.0,01/08/2020,2395.0,1197.5,3592.5,14983.080000000002,413104.92,0.0366,0.01,30,12,0.008,0.005,1259.970006,566.9865027000001,1826.9565087,285.392,178.37,344.25409999999994,2634.9726087,100,100,100,300,2934.9726087,20000,8561.76,43544.840000000004,657.5273913000001,6803.838032400001,25685.28,1.2573119278426559
677,9370 gail ct,80229,Thornton,CO,39.866935,-104.96677,SingleFamily,3.0,319974.0,01/08/2020,1800.0,900.0,2700.0,11199.090000000002,308774.91,0.0366,0.01,30,12,0.008,0.005,941.7634754999999,423.793563975,1365.5570394749998,213.316,133.32250000000002,257.312425,1969.5079644749999,100,100,100,300,2269.507964475,20000,6399.4800000000005,37598.57000000001,430.4920355250001,5085.5227677,19198.44,1.0705159050995823
19,8241 s high ct,80122,Centennial,CO,39.567276,-104.96723999999999,Townhouse,3.0,400951.0,01/08/2020,2150.0,1075.0,3225.0,14033.285000000002,386917.71499999997,0.0366,0.01,30,12,0.008,0.005,1180.0990307499999,531.0445638374999,1711.1435945874998,267.3006666666667,167.06291666666667,322.43142916666665,2467.9386070875,100,100,100,300,2767.9386070875,20000,8019.02,42052.30500000001,457.0613929125002,6372.534766049999,24057.059999999998,1.160800376602424
157,1454 e fair pl,80121,Centennial,CO,39.604657,-104.97128799999999,SingleFamily,5.0,1800783.0,01/08/2020,8850.0,2212.5,11062.5,63027.405000000006,1737755.595,0.0366,0.01,30,12,0.008,0.005,5300.15456475,2385.0695541375,7685.2241188875,1200.5220000000002,750.3262500000001,1448.1296625000002,11084.2020313875,100,100,100,300,11384.2020313875,20000,36015.66,119043.065,-321.7020313875,28620.834649649998,108046.98,1.3386532871360461
1282,2695 vassar dr,80305,Boulder,CO,39.985468,-105.25898799999999,SingleFamily,5.0,932495.0,01/08/2020,3200.0,800.0,4000.0,32637.325000000004,899857.6749999999,0.0366,0.01,30,12,0.008,0.005,2744.5659087499994,1235.0546589374997,3979.620567687499,621.6633333333333,388.5395833333334,749.8813958333334,5739.704880187498,100,100,100,300,6039.704880187498,20000,18649.9,71287.225,-2039.704880187498,14820.655907249995,55949.7,0.7840661120558419
1348,4904 fountain st,80304,Boulder,CO,40.06428,-105.286293,SingleFamily,4.0,1200134.0,01/08/2020,3750.0,1250.0,5000.0,42004.69,1158129.31,0.0366,0.01,30,12,0.008,0.005,3532.2943955000005,1589.5324779750003,5121.826873475001,800.0893333333333,500.05583333333334,965.1077583333334,7387.079798475001,100,100,100,300,7687.079798475001,20000,24002.68,86007.37,-2687.0797984750006,19074.389735700002,72008.04,0.8585016860066759
661,3851 e 122nd ave,80241,Thornton,CO,39.918608,-104.94120900000001,SingleFamily,3.0,336798.0,01/08/2020,1995.0,997.5,2992.5,11787.93,325010.07,0.0366,0.01,30,12,0.008,0.005,991.2807134999999,446.07632107499995,1437.357034575,224.532,140.3325,270.841725,2073.063259575,100,100,100,300,2373.063259575,20000,6735.96,38523.89,619.4367404250002,5352.9158529,20207.88,1.1671728046674412
1528,4665 pawnee pl,80303,Boulder,CO,39.988999,-105.23539099999999,SingleFamily,4.0,938580.0,01/08/2020,3000.0,1000.0,4000.0,32850.3,905729.7,0.0366,0.01,30,12,0.008,0.005,2762.475585,1243.1140132500002,4005.5895982500006,625.72,391.07500000000005,754.77475,5777.159348250001,100,100,100,300,6077.159348250001,20000,18771.600000000002,71621.90000000001,-2077.159348250001,14917.368159000001,56314.799999999996,0.8140841834690224
38,6477 s jericho way,80016,Centennial,CO,39.59955,-104.75360400000001,SingleFamily,5.0,547548.0,01/08/2020,2795.0,698.75,3493.75,19164.18,528383.82,0.0366,0.01,30,12,0.008,0.005,1611.570651,725.20679295,2336.77744395,365.032,228.145,440.3198499999999,3370.27429395,100,100,100,300,3670.27429395,20000,10950.960000000001,50115.14,-176.5242939499999,8702.4815154,32852.88,0.9542439667533604
1209,3835 darley ave,80305,Boulder,CO,39.979431,-105.24941299999999,SingleFamily,3.0,815585.0,01/08/2020,3000.0,1500.0,4500.0,28545.475000000002,787039.525,0.0366,0.01,30,12,0.008,0.005,2400.47055125,1080.2117480625,3480.6822993124997,543.7233333333334,339.82708333333335,655.8662708333334,5020.0989868125,100,100,100,300,5320.0989868125,20000,16311.7,64857.175,-820.0989868124998,12962.540976749999,48935.1,1.0801650416472812
173,21141 e belleview pl,80015,Centennial,CO,39.623843,-104.743041,SingleFamily,3.0,373097.0,01/08/2020,2125.0,1062.5,3187.5,13058.395,360038.605,0.0366,0.01,30,12,0.008,0.005,1098.1177452499999,494.1529853625,1592.2707306124998,248.7313333333333,155.45708333333334,300.03217083333334,2296.4913181125003,100,100,100,300,2596.4913181125003,20000,7461.9400000000005,40520.33500000001,591.0086818874997,5929.83582435,22385.82,1.188483757772486
456,4720 e 128th pl,80241,Thornton,CO,39.928702,-104.932331,SingleFamily,3.0,352338.0,01/08/2020,2000.0,1000.0,3000.0,12331.830000000002,340006.17,0.0366,0.01,30,12,0.008,0.005,1037.0188185,466.658468325,1503.677286825,234.89200000000002,146.8075,283.33847499999996,2168.715261825,100,100,100,300,2468.715261825,20000,7046.76,39378.590000000004,531.2847381749998,5599.9016199,21140.28,1.1456885195229183
1947,20297 e coolidge dr,80011,Aurora,CO,39.744009999999996,-104.751535,SingleFamily,2.0,287364.0,01/08/2020,1750.0,1750.0,3500.0,10057.740000000002,277306.26,0.0366,0.01,30,12,0.008,0.005,845.7840930000001,380.60284185000006,1226.3869348500002,191.57600000000002,119.735,231.08855000000003,1768.78648485,100,100,100,300,2068.7864848500003,20000,5747.28,35805.020000000004,1431.2135151499997,4567.234102200001,17241.84,1.6752856522353565
1900,8011 s shawnee st,80016,Aurora,CO,39.571376,-104.729352,SingleFamily,4.0,611684.0,01/08/2020,2764.0,921.3333333333334,3685.3333333333335,21408.940000000002,590275.0599999999,0.0366,0.01,30,12,0.008,0.005,1800.3389329999998,810.1525198499999,2610.4914528499994,407.78933333333333,254.86833333333334,491.8958833333333,3765.045002849999,100,100,100,300,4065.045002849999,20000,12233.68,53642.62,-379.71166951666555,9721.830238199998,36701.04,0.9865724344560354
1937,3800 s genoa cir b,80013,Aurora,CO,39.646542,-104.75854100000001,SingleFamily,3.0,271849.0,01/08/2020,1950.0,975.0,2925.0,9514.715,262334.285,0.0366,0.01,30,12,0.008,0.005,800.1195692499999,360.0538061625,1160.1733754124998,181.23266666666666,113.27041666666668,218.61190416666668,1673.2883629125,100,100,100,300,1973.2883629125,20000,5436.9800000000005,34951.695,951.7116370875001,4320.64567395,16310.939999999999,1.2517883701777552
1840,5982 n perth st,80015,Centennial,CO,39.607943,-104.735538,SingleFamily,4.0,398044.0,01/08/2020,2250.0,750.0,3000.0,13931.54,384112.45999999996,0.0366,0.01,30,12,0.008,0.005,1171.543003,527.19435135,1698.73735435,265.36266666666666,165.85166666666666,320.09371666666664,2450.04540435,100,100,100,300,2750.04540435,20000,7960.88,41892.42,249.9545956500001,6326.3322162,23882.64,1.0075433064979298
15,1437 e geddes ave,80122,Centennial,CO,39.584525,-104.97183899999999,SingleFamily,3.0,510474.0,01/08/2020,2500.0,1250.0,3750.0,17866.59,492607.41,0.0366,0.01,30,12,0.008,0.005,1502.4526005,676.103670225,2178.556270725,340.316,212.6975,410.506175,3142.075945725,100,100,100,300,3442.075945725,20000,10209.48,48076.06999999999,307.9240542749999,8113.2440427,30628.44,1.1947060708997221
