,address,zipcode,city,state,latitude,longitude,usecode,bedrooms,amount,last-updated,rent,rentPerUnit,totalMonthlyIncome,downPayment,loanAmount,interestRate,pmiRate,loanTerm_years,paymentsPerYear,taxRate,insuranceRate,monthlyInterest,monthlyPrincipal,monthlyP&I,monthlyTaxes,monthlyInsurance,monthlyPMI,subTotalMonthlyPayment,vacancy,capitalExpenditures,maintenance,subtotalMonthlyReserves,totalMonthlyExpenses,rehabCost,closingCosts,initialInvestment,monthlyCashFlow,yearlyLoanPaydown,appreciationAmount,oneYearNWROI
0,2600 n garfield st,80205,Denver,CO,39.754682,-104.94387900000001,SingleFamily,2.0,498126.0,01/08/2020,2195.0,2195.0,4390.0,17434.41,480691.58999999997,0.0366,0.01,30,12,0.008,0.005,1466.1093494999998,659.7492072749999,2125.8585567749997,332.084,207.5525,400.576325,3066.0713817749993,100,100,100,300,3366.0713817749993,20000,9962.52,47396.93000000001,1023.9286182250007,7916.990487299999,29887.559999999998,1.6125874377517697
1,4958 n granby st,80239,Denver,CO,39.781338,-104.810361,SingleFamily,3.0,351858.0,01/08/2020,2100.0,1050.0,3150.0,12315.03,339542.97,0.0366,0.01,30,12,0.008,0.005,1035.6060584999998,466.0227263249999,1501.6287848249997,234.572,146.6075,282.952475,2165.7607598249997,100,100,100,300,2465.7607598249997,20000,7037.16,39352.19,684.2392401750003,5592.272715899999,21111.48,1.207420059671393
3,3550 w wesley ave,80219,Denver,CO,39.672913,-105.03391,SingleFamily,3.0,338459.0,01/08/2020,1900.0,950.0,2850.0,11846.065,326612.935,0.0366,0.01,30,12,0.008,0.005,996.16945175,448.2762532875,1444.4457050375,225.63933333333333,141.02458333333334,272.17744583333337,2083.2870675374998,100,100,100,300,2383.2870675374998,20000,6769.18,38615.245,466.71293246250025,5379.315039450001,20307.54,1.105454859317868
6,2721 s eaton way,80227,Denver,CO,39.666637,-105.05923200000001,SingleFamily,4.0,474382.0,01/08/2020,2225.0,741.6666666666666,2966.6666666666665,16603.370000000003,457778.63,0.0366,0.01,30,12,0.008,0.005,1396.2248215,628.301169675,2024.525991175,316.25466666666665,197.65916666666666,381.48219166666667,2919.922016175,100,100,100,300,3219.922016175,20000,9487.64,46091.01,-253.25534950833344,7539.6140361,28462.92,0.908278422234618
9,2842 s gray way,80227,Denver,CO,39.663179,-105.05898700000002,SingleFamily,5.0,456886.0,01/08/2020,2280.0,570.0,2850.0,15991.010000000002,440894.99,0.0366,0.01,30,12,0.008,0.005,1344.7297194999999,605.128373775,1949.8580932749999,304.59066666666666,190.36916666666664,367.41249166666665,2812.230418275,100,100,100,300,3112.230418275,20000,9137.72,45128.73,-262.2304182749999,7261.5404853,27413.16,0.8501886817111849
11,1126 n fairfax st,80220,Denver,CO,39.733361,-104.927745,SingleFamily,3.0,547281.0,01/08/2020,2500.0,1250.0,3750.0,19154.835000000003,528126.165,0.0366,0.01,30,12,0.008,0.005,1610.7848032500003,724.8531614625001,2335.6379647125004,364.85400000000004,228.03375000000003,440.1051375,3368.630852212501,100,100,100,300,3668.630852212501,20000,10945.62,50100.45500000001,81.36914778749906,8698.237937550002,32836.86,1.1479242595900572
12,1834 n julian st,80204,Denver,CO,39.746055,-105.03107800000001,SingleFamily,3.0,643575.0,01/08/2020,3050.0,1525.0,4575.0,22525.125000000004,621049.875,0.0366,0.01,30,12,0.008,0.005,1894.2021187500002,852.3909534375001,2746.5930721875,429.05,268.15625,517.5415624999999,3961.3408846875004,100,100,100,300,4261.340884687501,20000,12871.5,55396.625,313.6591153124991,10228.691441250001,38614.5,1.2799895449406888
13,505 s eliot st,80219,Denver,CO,39.707251,-105.02418200000001,MultiFamily2To4,2.0,326898.0,01/08/2020,1800.0,1800.0,3600.0,11441.43,315456.57,0.0366,0.01,30,12,0.008,0.005,962.1425385000001,432.96414232500007,1395.1066808250002,217.93200000000002,136.2075,262.880475,2012.1266558250002,100,100,100,300,2312.126655825,20000,6537.96,37979.39,1287.873344175,5195.569707900001,19613.88,1.6288816075771622
14,1945 n ivanhoe st,80220,Denver,CO,39.746472999999995,-104.921448,SingleFamily,4.0,710991.0,01/08/2020,2569.0,856.3333333333334,3425.3333333333335,24884.685,686106.315,0.0366,0.01,30,12,0.008,0.005,2092.62426075,941.6809173375,3034.3051780875,473.99399999999997,296.24625,571.7552625,4376.3006905875,100,100,100,300,4676.3006905875,20000,14219.82,59104.505,-1250.9673572541665,11300.17100805,42659.46,0.8328303015311609
15,463 n locust st,80220,Denver,CO,39.723797,-104.913844,SingleFamily,4.0,1378339.0,01/08/2020,5443.0,1814.3333333333333,7257.333333333333,48241.865000000005,1330097.135,0.0366,0.01,30,12,0.008,0.005,4056.79626175,1825.5583177875,5882.3545795375,918.8926666666666,574.3079166666666,1108.4142791666666,8483.9694420375,100,100,100,300,8783.9694420375,20000,27566.78,95808.645,-1526.6361087041669,21906.699813450003,82700.34,1.1278669738936395
16,8336 e 35th ave,80238,Denver,CO,39.764975,-104.89131599999999,Townhouse,3.0,447369.0,01/08/2020,2300.0,1150.0,3450.0,15657.915,431711.08499999996,0.0366,0.01,30,12,0.008,0.005,1316.7188092499998,592.5234641625,1909.2422734124998,298.24600000000004,186.40375000000003,359.7592375,2753.6512609124998,100,100,100,300,3053.6512609124998,20000,8947.380000000001,44605.295,396.34873908750023,7110.28156995,26842.14,1.1771832568084126
17,3396 s birch st,80222,Denver,CO,39.655091999999996,-104.935946,SingleFamily,3.0,655922.0,01/08/2020,2775.0,1387.5,4162.5,22957.27,632964.73,0.0366,0.01,30,12,0.008,0.005,1930.5424265,868.744091925,2799.286518425,437.28133333333335,273.30083333333334,527.4706083333333,4037.3392934249996,100,100,100,300,4337.339293425,20000,13118.44,56075.71000000001,-174.8392934249996,10424.9291031,39355.32,1.1472378607778662
19,4481 n truckee st,80249,Denver,CO,39.778469,-104.781192,SingleFamily,3.0,368943.0,01/08/2020,2300.0,1150.0,3450.0,12913.005000000001,356029.995,0.0366,0.01,30,12,0.008,0.005,1085.89148475,488.6511681375,1574.5426528875,245.962,153.72625000000002,296.6916625,2270.9225653875,100,100,100,300,2570.9225653875,20000,7378.860000000001,40291.865000000005,879.0774346124999,5863.81401765,22136.579999999998,1.2992529194913165
20,20300 e 40th ave,80249,Denver,CO,39.770493,-104.752009,SingleFamily,4.0,369887.0,01/08/2020,2350.0,783.3333333333334,3133.3333333333335,12946.045000000002,356940.955,0.0366,0.01,30,12,0.008,0.005,1088.66991275,489.90146073750003,1578.5713734875,246.59133333333332,154.11958333333334,297.45079583333336,2276.7330859875,100,100,100,300,2576.7330859875,20000,7397.74,40343.784999999996,556.6002473458334,5878.817528850001,22193.219999999998,1.0943752673924871
25,228 w 4th ave,80223,Denver,CO,39.722257,-104.991698,SingleFamily,3.0,618798.0,01/08/2020,2500.0,1250.0,3750.0,21657.93,597140.07,0.0366,0.01,30,12,0.008,0.005,1821.2772134999998,819.5747460749999,2640.8519595749995,412.532,257.83250000000004,497.6167249999999,3808.8331845749994,100,100,100,300,4108.833184575,20000,12375.960000000001,54033.89,-358.8331845749999,9834.896952899999,37127.88,1.0670484530726918
